Tanggal,Harga Aktual,Harga Prediksi
2019-03-01,33546.32,33577.23949999999
2022-04-07,26496.67,26222.596599999983
2022-11-18,25916.0,25926.813399999995
2022-02-17,28164.0,28107.9838
2020-05-01,34584.88,34765.0273
2022-08-24,25347.77,25737.37779999997
2020-06-26,35061.55,34741.7767
2021-02-23,30046.24,29632.2168
2019-07-29,30677.36,30659.40419999998
2020-12-11,31055.86,30708.271500000013
2021-11-22,26957.59,26474.008899999986
2022-01-21,28621.39,28513.9749
2022-10-06,26412.3,26265.780700000014
2019-09-06,31730.3,32060.5686
2022-10-24,25625.59,25788.61359999999
2018-12-19,33717.09,33812.01540000003
2020-09-22,33820.38,34140.80690000001
2018-11-02,31874.57,32236.583899999987
2019-06-11,33309.51,32793.0006
2020-08-28,34084.15,33965.15490000002
2019-07-03,31827.05,30973.660799999987
2019-07-25,31438.26,31654.479900000002
2023-01-18,23346.24,23151.9301
2021-02-24,29591.27,29400.13970000001
2020-04-29,33919.84,33917.337399999975
2021-01-11,31041.13,30982.6674
2021-08-19,25475.02,25338.206100000003
2021-06-29,27005.84,26864.0014
2022-02-08,27909.6,27938.980800000005
2019-01-08,33973.01,33758.8915
2021-05-12,27500.89,28077.215999999982
2021-06-21,26313.65,26568.33459999998
2023-02-16,25338.84,25393.724399999996
2021-12-16,28256.03,28940.48259999999
2020-02-24,35804.38,35635.05700000001
2022-09-14,25965.09,26380.552399999997
2018-10-02,33976.63,33870.04070000003
2018-11-13,33431.44,33185.38540000003
2020-01-22,36398.21,36164.33960000001
2022-03-25,26833.95,26907.015900000017
2019-07-30,30483.13,30658.305099999994
2018-12-26,33733.96,33520.664
2019-03-27,31499.62,31023.269799999995
2020-10-06,33730.89,33907.2436
2022-08-18,24819.78,25069.546100000014
2021-06-28,26652.33,26902.518600000014
2019-11-01,34063.1,33452.64649999999
2019-09-17,33128.79,33619.584500000026
2022-02-18,28121.68,27910.987300000023
2020-02-12,35227.03,34680.17899999998
2020-02-13,34580.08,34718.15670000001
2019-10-23,34861.24,34553.22670000002
2021-03-26,28363.66,28224.330899999994
2022-12-22,24737.2,24487.448200000017
2022-05-04,27076.82,27201.245400000018
2018-10-08,33646.5,33879.53849999999
2021-08-26,24465.16,24408.861200000025
2021-07-20,25734.97,25732.91419999999
2023-02-14,25826.43,25473.647199999996
2023-03-27,25191.43,25349.961899999995
2023-02-24,24464.69,24558.892499999994
2021-03-10,29157.97,28434.777099999978
2019-03-06,33536.7,33931.65709999996
2022-06-29,27349.19,27160.596399999995
2022-09-12,25828.36,25875.78220000002
2020-07-31,33290.08,33909.64739999999
2021-01-14,30223.89,30710.982899999977
2020-03-13,36124.23,36203.840000000026
2019-08-12,32910.9,32876.48159999999
2020-06-01,34894.12,34996.0953
2022-07-25,26526.58,26584.67509999999
2021-04-01,28606.31,28793.339599999992
2019-08-13,33180.14,32861.31939999999
2023-02-07,24370.24,24510.896299999986
2021-10-28,19173.98,21041.40899999997
2021-03-31,28195.42,28682.63869999998
2018-11-23,33153.91,33049.4496
2019-12-23,34297.73,34271.750499999995
2022-03-01,28036.22,27899.464700000008
